sem,prof,dept,course_nbr,course_name,a1,a2,a3,b1,b2,b3,c1,c2,c3,d1,d2,d3,f
Aggregate,"MALLIN, ERIC S",E,379R,1- CMP RDG/ADAPTATION OF FILM,0,3,6,2,3,2,2,0,0,0,0,0,0
Aggregate,"PARK, SANG-HOON",KOR,330,1-ADV CONVERSATION IN KOREAN,0,16,1,0,1,0,0,0,0,0,0,0,0
Aggregate,"COIBION, OLIVIER",ECO,387E,1-ADV MACROECONOMIC ANALYSIS I,0,7,2,0,0,0,0,0,0,0,0,0,0
Aggregate,"SKERRETT, ALLISON",EDC,370S,1-ADV METHS ENG/LANG ARTS/READ,0,3,3,3,1,0,0,0,0,0,0,0,0
Aggregate,"ROHAL, TODD",RTF,343,1-ADV NARRATIVE PRODUCTION,0,6,15,1,0,0,0,1,0,0,0,0,0
Aggregate,"SCHIESARI, NANCY",RTF,343,1-ADV NARRATIVE PRODUCTION,0,4,5,3,4,0,1,0,0,1,0,0,0
Aggregate,"SILVERSTEIN, ANNA SOPHIA",RTF,343,1-ADV NARRATIVE PRODUCTION,0,31,3,4,2,0,0,1,0,0,0,0,0
Aggregate,"KOIKE, DALE A",SPN,367K,1-ADV ORAL EXP FOR TEACHERS,0,3,7,1,4,0,0,0,0,0,0,0,0
Aggregate,"MCALLISTER, JOHN J",RTF,369,1-ADV SCRNWRT FOR FEATURE FILM,0,3,2,1,2,3,0,0,0,0,0,0,0
Aggregate,"POYSER, BRYAN K",RTF,369,1-ADV SCRNWRT FOR FEATURE FILM,0,13,7,6,3,1,0,0,0,0,0,1,0
Aggregate,"THORNE, BEAU M",RTF,369,1-ADV SCRNWRT FOR FEATURE FILM,0,19,0,0,0,2,1,1,0,0,1,0,0
Aggregate,"WEINERT, SUZANNE",RTF,369,1-ADV SCRNWRT FOR FEATURE FILM,0,19,1,2,2,1,0,0,0,0,0,0,0
Aggregate,"WILLETT, THOMAS",RTF,369,1-ADV SCRNWRT FOR FEATURE FILM,0,45,15,7,9,5,1,0,0,0,0,0,2
Aggregate,"BAYS, BENJAMIN L",RTF,344N,1-ADV VFX & MOTION GRAPHICS,0,13,5,1,0,0,0,0,0,0,0,0,0
Aggregate,"ALMAZAN, ANDRES",FIN,394,1-ADVANCED CORPORATE FINANCE,0,15,13,8,11,0,0,0,0,0,0,0,0
Aggregate,"ALTI, AYDOGAN",FIN,394,1-ADVANCED CORPORATE FINANCE,0,16,20,13,1,0,0,0,0,0,0,0,0
Aggregate,"COHN, JONATHAN B",FIN,394,1-ADVANCED CORPORATE FINANCE,0,104,43,57,46,0,0,0,0,0,0,0,0
Aggregate,"DREXLER, ALEJANDRO H",FIN,394,1-ADVANCED CORPORATE FINANCE,0,10,9,2,2,0,0,0,0,0,0,0,0
Aggregate,"LEE, INMOO",FIN,394,1-ADVANCED CORPORATE FINANCE,0,10,8,10,13,0,0,0,0,0,0,0,0
Aggregate,"ABREVAYA, JASON I",ECO,348K,1-ADVANCED ECONOMETRICS,0,10,5,7,0,0,0,0,0,0,0,0,0
Aggregate,"SANDERS, BOB G",BIO,394M,1-ADVANCED IMMUNOLOGY,0,1,4,1,0,0,0,0,0,0,0,0,0
Aggregate,"TUCKER, HALEY O",BIO,394M,1-ADVANCED IMMUNOLOGY,0,4,2,2,0,0,0,0,0,0,0,0,0
Aggregate,"DOBIAS, LISA Z",ADV,377,1-ADVANCED MEDIA STRATEGIES,0,141,45,19,5,1,0,2,0,0,0,0,0
Aggregate,"BERBEROGLU, HALIL",M E,381Q,1-ADVANCED THERMODYNAMICS,0,4,8,5,3,2,0,0,0,0,0,0,0
Aggregate,"ELLZEY, JANET L",M E,381Q,1-ADVANCED THERMODYNAMICS,0,6,5,3,4,0,0,1,0,0,0,0,0
Aggregate,"BAYS, BENJAMIN L",RTF,344N,1-ADVANCED VISUAL EFFECTS,0,18,4,2,2,3,0,0,0,0,0,0,1
Aggregate,"FREELAND, JEANNE H",NTR,390,1-ADVANCES IN NUTRITNL SCI I,0,17,9,2,1,0,0,0,0,0,0,0,0
Aggregate,"DECHAVEZ, YVETTE M",E,314V,1-AFRICAN AMERICAN LIT AND CUL,0,14,3,1,1,0,0,0,0,0,0,0,0
Aggregate,"DOSPIL, JORDAN S",E,314V,1-AFRICAN AMERICAN LIT AND CUL,0,13,0,1,1,0,0,0,0,0,0,0,0
Aggregate,"MILLS, REGINA M",E,314V,1-AFRICAN AMERICAN LIT AND CUL,0,4,1,2,2,3,0,1,1,0,1,0,1
Aggregate,"RICHARDSON, MATTHEW T",AFR,317F,1-AFRICAN AMERICAN LIT AND CUL,0,3,4,3,1,0,0,0,0,0,0,0,0
Aggregate,"WILKS, JENNIFER M",E,314V,1-AFRICAN AMERICAN LIT AND CUL,0,6,8,12,13,7,1,1,0,0,0,0,0
Aggregate,"WOODARD, HELENA",E,314V,1-AFRICAN AMERICAN LIT AND CUL,0,16,11,5,5,5,0,0,5,0,0,1,1
Aggregate,"SCHUSSEL, FRANKY L",ASL,350,1-AMERICAN SIGN LANGUAGE LIT,0,4,4,3,1,0,0,0,0,0,0,0,0
Aggregate,"BUI, TAN T",ASE,380P,1-ANALYTICAL METHODS I,0,7,6,2,1,2,0,0,0,0,0,0,0
Aggregate,"HENRY, MAYA L",CSD,293F,1-APHASIA,0,26,12,7,2,0,0,0,0,0,0,0,0
Aggregate,"MARQUARDT, THOMAS P",CSD,293F,1-APHASIA,0,31,25,10,1,0,0,0,0,0,0,0,0
