sem,prof,dept,course_nbr,course_name,a1,a2,a3,b1,b2,b3,c1,c2,c3,d1,d2,d3,f
Fall 2013,"ABADIA-REXACH, BARBARA I",SPN,611D,INTERMEDIATE SPANISH II,0,4,3,0,7,3,2,1,0,2,0,0,0
Fall 2013,"ABING, JESSE L",SPN,610D,INTERMEDIATE SPANISH I,0,8,5,5,0,2,1,1,1,0,1,0,0
Fall 2013,"ABRAHAM, LAWRENCE D",KIN,315,MOTOR LEARNING,0,14,22,17,32,34,8,14,5,3,1,2,1
Fall 2013,"ABRAMSON, JEFFREY B",GOV,382M,POLITICAL THEORY AND THE LAW,0,9,3,0,0,0,0,0,0,0,0,0,0
Fall 2013,"ABRAMSON, JEFFREY B",LAW,381C,CONST LAW II: CIVIL LIBERTIES,1,7,1,5,7,1,3,1,0,0,0,0,0
Fall 2013,"ABREVAYA, JASON I",ECO,392M,3-ECONOMETRICS II,0,11,7,6,1,0,0,0,0,0,0,0,0
Fall 2013,"ABUSALI, P A",ASE,366L,APPLIED ORBITAL MECHANICS,0,7,6,4,5,5,3,2,0,0,0,0,0
Fall 2013,"ACIKMESE, BEHCET",ASE,330M,LINEAR SYSTEM ANALYSIS,0,13,8,11,5,7,5,7,4,1,1,1,0
Fall 2013,"ACKERMAN, LOTTY",P S,303,INTRO PHYS SCI I: MECH & HEAT,0,14,16,9,0,3,2,2,1,0,0,0,0
Fall 2013,"ACOSTA, WYANZA R",PHR,262D,NONPRES PHARMCOTHRPEUTICS I,0,44,28,21,15,2,3,0,0,0,0,0,0
Fall 2013,"ACTON, GAYLE J",N,392,NURSING PHENOMENA OF CONCERN,0,19,0,0,3,0,0,0,0,0,0,0,0
Fall 2013,"ADAMS, MICHAEL W",E,348,20TH-CENTURY SHORT STORY,0,8,1,5,0,0,0,0,0,0,0,0,1
Fall 2013,"ADAMS, PAUL C",GRG,305,THIS HUMAN WORLD: INTRO TO GRG,0,28,28,39,49,32,25,15,1,3,3,2,4
Fall 2013,"ADAMS, PAUL C",GRG,356T,GEOGRAPHY OF MEDIA,0,17,1,2,3,1,0,1,1,0,1,0,0
Fall 2013,"ADAMS, ROBERT J JR",MAN,385,TEXAS VENTURE LABS PRACTICUM,0,10,3,3,2,0,0,0,0,0,0,0,0
Fall 2013,"ADELMAN, DAVID E",LAW,441L,ENVIRONMENTAL LAW,0,8,4,4,4,3,3,0,0,0,0,0,0
Fall 2013,"ADELMAN, DAVID E",T C,357,CLIMATE CHANGE AND POLICY,0,8,2,2,0,0,0,0,0,0,0,0,0
Fall 2013,"ADUT, ARI",SOC,379M,SOCIOLOGICAL THEORY,0,28,8,10,16,5,5,5,1,2,4,0,0
Fall 2013,"AFOLABI, OMONIYI",UGS,303,BRAZILIAN STUDIES,0,35,5,2,3,1,2,0,0,0,0,0,1
Fall 2013,"AFRASIABI, DENA",PRS,601C,INTENSIVE PERSIAN I,0,6,5,0,0,0,0,0,0,0,0,0,0
Fall 2013,"AFROUZI KHOSROSHAHI, HASS",ECO,301,INTRODUCTION TO ECONOMICS,0,8,8,6,6,3,7,4,0,0,1,0,0
Fall 2013,"AGARWALA, SEEMA",BIO,365N,DEV/PLASTICITY OF NERVOUS SYS,0,5,4,2,3,2,2,1,1,0,0,0,0
Fall 2013,"AIDA, YUKIE",JPN,610D,JAPANESE II,0,20,5,0,5,3,1,1,0,0,0,0,0
Fall 2013,"AKELLA, MARUTHI R",ASE,381P,1-LINEAR SYSTEMS ANALYSIS,0,6,4,5,0,1,0,0,0,0,0,0,0
Fall 2013,"AKINS, ERICK",URB,360,INTERNSHIP & SERVICE LEARNING,0,25,2,1,4,0,0,1,0,0,0,0,0
Fall 2013,"AKINS, WILEY",RTF,344M,VISUAL EFFECTS & MOTION GRPHCS,0,14,3,0,0,0,1,0,0,0,0,0,0
Fall 2013,"AKINS, WILEY",RTF,344N,SPECIAL TOPICS IN CG,0,8,8,0,1,1,0,1,0,0,0,0,2
Fall 2013,"AKINWANDE, DEJI",E E,338L,ANALOG INTEGRATED CIRCUIT DSGN,0,5,2,2,5,0,5,3,5,0,0,0,0
Fall 2013,"AKINWANDE, DEJI",E E,382M,14-ANALOG INTEG CIRCUIT DESIGN,0,13,7,5,2,2,0,0,0,0,0,0,0
Fall 2013,"ALAM, MUHAMMAD S",P S,303,INTRO PHYS SCI I: MECH & HEAT,0,19,13,4,2,0,1,0,0,0,1,0,0
Fall 2013,"AL-BATAL, MAHMOUD M",ARA,383C,1-TEACHING ARABIC AS FRGN LANG,0,12,5,1,0,0,0,0,0,0,0,0,0
Fall 2013,"AL-BATAL, MAHMOUD M",ARA,621K,INTENSIVE ARABIC III,0,2,1,5,2,1,0,0,1,0,0,0,0
Fall 2013,"ALBERTSON, BETHANY L",GOV,385L,EXPERIMENT METHODS IN POLI SCI,0,3,5,3,0,0,0,0,0,0,0,0,0
Fall 2013,"ALBRECHT, TERI J",UGS,303,CRIT THINKING FOR 21ST CENTURY,0,12,5,0,2,0,0,0,1,0,0,0,0
Fall 2013,"ALBRIGHT, ALEXANDRA W",LAW,533,CIVIL PROCEDURE,2,8,3,2,5,4,1,2,0,0,0,0,0
Fall 2013,"ALDRICH, RICHARD W",NEU,482T,PRINCIPLES OF NEUROSCIENCE I,0,10,8,3,0,0,0,0,0,0,0,0,0
Fall 2013,"ALEXANDER, JOSHUA D",FIN,377,5-ENERGY FINANCIAL RISK MGMT,0,5,5,5,5,2,0,0,0,0,0,0,0
Fall 2013,"ALI, KAMRAN",ANT,392M,INTRO TO GRAD SOCIAL ANTHRO,0,9,7,2,0,0,0,0,0,0,0,0,0
Fall 2013,"ALI, SAMER M",MES,342,4-THE ARABIAN NIGHTS,0,9,0,0,2,0,0,0,0,0,0,0,1
Fall 2013,"ALI, SAMER M",UGS,303,THE PURSUIT OF HAPPINESS,0,52,16,10,5,2,2,1,0,0,0,0,0
Fall 2013,"ALLCOCK, DANIEL J",M,328K,INTRODUCTION TO NUMBER THEORY,0,7,3,2,8,3,3,7,3,4,2,1,5
Fall 2013,"ALLEN, DOUGLAS G",EDP,383,1-BIO BASIS OF BEHAVIOR,0,19,6,0,0,0,0,0,0,0,0,0,0
Fall 2013,"ALLEN, DOUGLAS G",EDP,369K,INTRO TO BIOMED ISS IN AUTISM,0,13,1,0,0,0,0,1,0,0,0,0,0
Fall 2013,"ALLEN, JERROD S",M E,350,MACHINE TOOL OPERATN FOR ENGRS,0,3,3,6,0,0,0,0,0,0,0,0,0
Fall 2013,"ALLENSWORTH, WILLIAM R",LAW,364S,CONSTRUCTION LAW,0,0,4,4,0,0,0,0,0,0,0,0,0
Fall 2013,"ALLISON, JOHN R",LEB,380,14-INTELLECTUAL PROPERTY,0,7,7,4,4,0,0,0,0,0,0,0,0
Fall 2013,"ALMEN, BYRON P",MUS,605A,MUSICIANSHIP,0,7,2,2,6,0,1,2,1,0,0,0,0
Fall 2013,"ALMY, DEAN J",ARC,386M,URBAN DESIGN HIST/THEORY/CRIT,0,4,1,2,2,1,1,0,0,0,0,0,0
Fall 2013,"ALPER, HAL S",CHE,317,INTRO TO CHEM ENGR ANALYSIS,0,10,12,14,6,3,1,2,1,0,0,0,2
Fall 2013,"ALPERT, MARK I",MKT,337,PRINCIPLES OF MARKETING,0,13,8,6,13,4,1,2,0,0,0,0,0
Fall 2013,"ALPERT, MARK I",MKT,366P,SPECIAL PROJS IN MKT PRACTICUM,0,23,9,0,1,1,0,0,0,0,0,0,0
Fall 2013,"ALPERT-ABRAMS, HANNAH R",RHE,306,RHETORIC AND WRITING,0,6,2,2,1,0,1,0,0,0,0,0,0
Fall 2013,"ALRUTZ, MEGAN",T D,388,RESEARCH METHODS AND RESOURCES,0,4,7,0,1,0,0,0,0,0,0,0,0
Fall 2013,"ALRUTZ, MEGAN",T D,383P,COMMUNITY ENGAGEMENT/OUTREACH,0,6,3,0,0,0,0,0,0,0,0,0,0
Fall 2013,"ALTI, AYDOGAN",FIN,395,5-CORPORATE FINANCE-PHD,0,2,3,3,1,1,0,0,0,0,0,0,0
Fall 2013,"ALU, ANDREA",E E,383N,THRY OF ELECMAG FLD: ELECDYNAM,0,6,3,4,0,1,0,1,0,0,0,0,0
Fall 2013,"ALVES, GREGORY A",FIN,377,1-PORTFOLIO ANALYSIS AND MGMT,0,6,9,3,1,1,0,0,0,0,0,0,0
Fall 2013,"ALVES, ROSENTAL C",J,331F,ENTREPRENEURIAL JOURNALISM,0,7,4,2,0,0,0,0,0,0,0,0,0
Fall 2013,"ALVISI, LORENZO",C S,380D,DISTRIBUTED COMPUTING I,0,8,0,5,9,7,5,4,2,0,0,0,4
Fall 2013,"AMADOR, CARLOS M",SPN,375,ANIMALS/ECO/DISAST: S CONE LIT,0,10,6,2,2,0,0,0,0,0,0,0,0
Fall 2013,"AMADOR, CARLOS M",SPN,327W,ADV GRAMMAR AND COMPOSITION II,0,24,13,3,0,0,0,0,0,0,0,0,0
Fall 2013,"AMEN, SALLY K",SSC,302,DATA ANLY FOR HEALTH SCIENCES,0,11,8,5,3,8,3,7,2,1,2,0,2
